site,year,electricity_price,electricity_unit,gas_price,gas_unit,labor_hourly,tax_amount,subsidy_amount,subsidy_unit,capacity_util,capacity_util_unit,capacity_gwh,construction_years,subsidy_deadline_year
DE,2025,180,EUR/MWh,90,EUR/MWh,45,5000000,50,EUR/kWh,0.75,ratio,40,3,2030
DE,2025,180,EUR/MWh,90,EUR/MWh,45,5000000,50,EUR/kWh,0.75,ratio,40,3,2030
DE,2026,185,EUR/MWh,92,EUR/MWh,46,5100000,50,EUR/kWh,0.76,ratio,40,3,2030
DE,2027,9990,EUR/MWh,95,EUR/MWh,47,5200000,50,EUR/kWh,0.76,ratio,40,3,2030
DE,2028,195,EUR/MWh,96,EUR/MWh,48,5300000,50,EUR/kWh,0.77,ratio,40,3,2030
DE,2029,200,EUR/MWh,98,EUR/MWh,49,5400000,50,EUR/kWh,0.77,ratio,40,3,2030
FR,2025,12,cEUR/kWh,80,EUR/MWh,42,4000000,60,EUR/kWh,75,percent,30,2,2029
FR,2026,13,cEUR/kWh,82,EUR/MWh,42,4100000,60,EUR/kWh,75,percent,30,2,2029
FR,2027,14,cEUR/kWh,84,EUR/MWh,43,4200000,60,EUR/kWh,76,percent,30,2,2029
FR,2028,,EUR/MWh,88,EUR/MWh,43,4300000,60,EUR/kWh,76,percent,30,2,2029
FR,2029,15,cEUR/kWh,90,EUR/MWh,44,4400000,60,EUR/kWh,77,percent,30,2,2029
ES,2025,110,EUR/MWh,0.06,EUR/kWh,28,3000000,70,EUR/kWh,0.80,ratio,35,2,2029
ES,2026,115,EUR/MWh,0.062,EUR/kWh,29,3100000,70,EUR/kWh,0.80,ratio,35,2,2029
ES,2027,120,EUR/MWh,0.064,EUR/kWh,29,3200000,70,EUR/kWh,0.81,ratio,35,2,2029
ES,2028,125,EUR/MWh,0.066,EUR/kWh,30,3300000,70,EUR/kWh,0.81,ratio,35,2,2029
ES,2029,130,EUR/MWh,0.068,EUR/kWh,30,3400000,70,EUR/kWh,0.82,ratio,35,2,2029
IT,2025,0.16,EUR/kWh,100,EUR/MWh,33,3500000,800000000,EUR,0.70,ratio,25,3,2031
IT,2026,0.17,EUR/kWh,102,EUR/MWh,34,3550000,800000000,EUR,0.70,ratio,25,3,2031
IT,2027,0.17,EUR/kWh,104,EUR/MWh,34,3600000,800000000,EUR,0.71,ratio,25,3,2031
IT,2028,0.18,EUR/kWh,106,EUR/MWh,35,3650000,800000000,EUR,0.71,ratio,25,3,2031
IT,2029,0.18,EUR/kWh,108,EUR/MWh,35,3700000,800000000,EUR,0.72,ratio,25,3,2031
