site,scenario,year_offset,cumulative_npv_eur
DE,optimistic,0,-1.46667e+09
DE,optimistic,1,-2.82469e+09
DE,optimistic,2,-4.08212e+09
DE,optimistic,3,-2.78068e+08
DE,optimistic,4,1.5441e+09
DE,optimistic,5,3.23128e+09
DE,optimistic,6,4.7935e+09
DE,optimistic,7,6.23999e+09
DE,optimistic,8,7.57933e+09
DE,optimistic,9,8.81947e+09
DE,optimistic,10,9.96774e+09
DE,optimistic,11,1.1031e+10
DE,baseline,0,-1.46667e+09
DE,baseline,1,-2.82469e+09
DE,baseline,2,-4.08212e+09
DE,baseline,3,-5.56944e+08
DE,baseline,4,1.23064e+09
DE,baseline,5,2.8858e+09
DE,baseline,6,4.41837e+09
DE,baseline,7,5.83741e+09
DE,baseline,8,7.15133e+09
DE,baseline,9,8.36793e+09
DE,baseline,10,9.49441e+09
DE,baseline,11,1.05374e+10
DE,pessimistic,0,-1.46667e+09
DE,pessimistic,1,-2.82469e+09
DE,pessimistic,2,-4.08212e+09
DE,pessimistic,3,-8.31555e+08
DE,pessimistic,4,9.21877e+08
DE,pessimistic,5,2.54543e+09
DE,pessimistic,6,4.04871e+09
DE,pessimistic,7,5.44064e+09
DE,pessimistic,8,6.72947e+09
DE,pessimistic,9,7.92282e+09
DE,pessimistic,10,9.02778e+09
DE,pessimistic,11,1.00509e+10
ES,optimistic,0,-1.925e+09
ES,optimistic,1,-3.70741e+09
ES,optimistic,2,8.03019e+08
ES,optimistic,3,2.73562e+09
ES,optimistic,4,4.5418e+09
ES,optimistic,5,6.21419e+09
ES,optimistic,6,7.7627e+09
ES,optimistic,7,9.19651e+09
ES,optimistic,8,1.05241e+10
ES,optimistic,9,1.17534e+10
ES,optimistic,10,1.28916e+10
ES,optimistic,11,1.39455e+10
ES,baseline,0,-1.925e+09
ES,baseline,1,-3.70741e+09
ES,baseline,2,4.72185e+08
ES,baseline,3,2.38337e+09
ES,baseline,4,4.16869e+09
ES,baseline,5,5.82175e+09
ES,baseline,6,7.35237e+09
ES,baseline,7,8.76961e+09
ES,baseline,8,1.00819e+10
ES,baseline,9,1.12969e+10
ES,baseline,10,1.2422e+10
ES,baseline,11,1.34637e+10
ES,pessimistic,0,-1.925e+09
ES,pessimistic,1,-3.70741e+09
ES,pessimistic,2,1.40209e+08
ES,pessimistic,3,2.02981e+09
ES,pessimistic,4,3.79408e+09
ES,pessimistic,5,5.42766e+09
ES,pessimistic,6,6.94023e+09
ES,pessimistic,7,8.34077e+09
ES,pessimistic,8,9.63756e+09
ES,pessimistic,9,1.08383e+10
ES,pessimistic,10,1.19501e+10
ES,pessimistic,11,1.29795e+10
FR,optimistic,0,-1.65e+09
FR,optimistic,1,-3.17778e+09
FR,optimistic,2,2.35516e+08
FR,optimistic,3,1.75381e+09
FR,optimistic,4,3.16511e+09
FR,optimistic,5,4.47188e+09
FR,optimistic,6,5.68184e+09
FR,optimistic,7,6.80218e+09
FR,optimistic,8,7.83953e+09
FR,optimistic,9,8.80004e+09
FR,optimistic,10,9.6894e+09
FR,optimistic,11,1.05129e+10
FR,baseline,0,-1.65e+09
FR,baseline,1,-3.17778e+09
FR,baseline,2,-1.77565e+07
FR,baseline,3,1.48113e+09
FR,baseline,4,2.8733e+09
FR,baseline,5,4.16235e+09
FR,baseline,6,5.35592e+09
FR,baseline,7,6.46107e+09
FR,baseline,8,7.48436e+09
FR,baseline,9,8.43185e+09
FR,baseline,10,9.30916e+09
FR,baseline,11,1.01215e+10
FR,pessimistic,0,-1.65e+09
FR,pessimistic,1,-3.17778e+09
FR,pessimistic,2,-2.76594e+08
FR,pessimistic,3,1.20482e+09
FR,pessimistic,4,2.57758e+09
FR,pessimistic,5,3.84866e+09
FR,pessimistic,6,5.02558e+09
FR,pessimistic,7,6.11532e+09
FR,pessimistic,8,7.12434e+09
FR,pessimistic,9,8.05862e+09
FR,pessimistic,10,8.92369e+09
FR,pessimistic,11,9.72468e+09
IT,optimistic,0,-9.16667e+08
IT,optimistic,1,-1.76543e+09
IT,optimistic,2,-2.55133e+09
IT,optimistic,3,-6.62698e+08
IT,optimistic,4,4.24386e+08
IT,optimistic,5,1.43094e+09
IT,optimistic,6,2.36294e+09
IT,optimistic,7,3.22591e+09
IT,optimistic,8,4.02494e+09
IT,optimistic,9,4.7648e+09
IT,optimistic,10,5.44984e+09
IT,optimistic,11,6.08415e+09
IT,baseline,0,-9.16667e+08
IT,baseline,1,-1.76543e+09
IT,baseline,2,-2.55133e+09
IT,baseline,3,-7.78378e+08
IT,baseline,4,2.91024e+08
IT,baseline,5,1.28121e+09
IT,baseline,6,2.19805e+09
IT,baseline,7,3.04698e+09
IT,baseline,8,3.83302e+09
IT,baseline,9,4.56084e+09
IT,baseline,10,5.23474e+09
IT,baseline,11,5.85873e+09
IT,pessimistic,0,-9.16667e+08
IT,pessimistic,1,-1.76543e+09
IT,pessimistic,2,-2.55133e+09
IT,pessimistic,3,-8.90108e+08
IT,pessimistic,4,1.61078e+08
IT,pessimistic,5,1.1344e+09
IT,pessimistic,6,2.03562e+09
IT,pessimistic,7,2.87009e+09
IT,pessimistic,8,3.64274e+09
IT,pessimistic,9,4.35816e+09
IT,pessimistic,10,5.02059e+09
IT,pessimistic,11,5.63394e+09
