parameter,base_npv_eur,low_npv_eur,high_npv_eur,swing_eur,normalized,top,market_key
construction_years,1.05374e+10,1.25864e+10,8.62761e+09,-3.95878e+09,-0.375687,true,false
capacity_utilization,1.05374e+10,9.23115e+09,1.18437e+10,2.61259e+09,0.247934,true,false
electricity_price,1.05374e+10,1.07015e+10,1.03734e+10,-3.28168e+08,-0.031143,true,true
subsidy_amount,1.05374e+10,1.03789e+10,1.0696e+10,3.17095e+08,0.0300922,false,true
labor_hourly,1.05374e+10,1.06019e+10,1.0473e+10,-1.28934e+08,-0.0122358,false,false
gas_price,1.05374e+10,1.05697e+10,1.05052e+10,-6.4467e+07,-0.00611789,false,false
tax_amount,1.05374e+10,1.05403e+10,1.05346e+10,-5.76828e+06,-0.000547408,false,false
construction_years,1.34637e+10,1.57085e+10,1.137e+10,-4.33849e+09,-0.322236,true,false
capacity_utilization,1.34637e+10,1.19551e+10,1.49722e+10,3.01711e+09,0.224092,true,false
subsidy_amount,1.34637e+10,1.3253e+10,1.36743e+10,4.21288e+08,0.0312907,true,true
electricity_price,1.34637e+10,1.35773e+10,1.33501e+10,-2.27184e+08,-0.0168738,false,true
labor_hourly,1.34637e+10,1.35061e+10,1.34212e+10,-8.49245e+07,-0.00630767,false,false
gas_price,1.34637e+10,1.34876e+10,1.34398e+10,-4.77753e+07,-0.00354846,false,false
tax_amount,1.34637e+10,1.34658e+10,1.34616e+10,-4.1747e+06,-0.000310071,false,false
construction_years,1.01215e+10,1.18586e+10,8.50679e+09,-3.3518e+09,-0.331157,true,false
capacity_utilization,1.01215e+10,8.94319e+09,1.12998e+10,2.35657e+09,0.232829,true,false
subsidy_amount,1.01215e+10,9.96713e+09,1.02758e+10,3.08695e+08,0.030499,true,true
electricity_price,1.01215e+10,1.02265e+10,1.00165e+10,-2.09955e+08,-0.0207435,false,true
labor_hourly,1.01215e+10,1.01715e+10,1.00714e+10,-1.00088e+08,-0.00988866,false,false
gas_price,1.01215e+10,1.01469e+10,1.0096e+10,-5.08754e+07,-0.00502648,false,false
tax_amount,1.01215e+10,1.01242e+10,1.01188e+10,-5.4173e+06,-0.000535229,false,false
construction_years,5.85873e+09,7.0527e+09,4.7644e+09,-2.2883e+09,-0.39058,true,false
capacity_utilization,5.85873e+09,5.07909e+09,6.63836e+09,1.55927e+09,0.266145,true,false
electricity_price,5.85873e+09,5.94537e+09,5.77208e+09,-1.73285e+08,-0.0295773,true,true
subsidy_amount,5.85873e+09,5.79538e+09,5.92207e+09,1.26695e+08,0.0216249,false,true
labor_hourly,5.85873e+09,5.88566e+09,5.83179e+09,-5.38743e+07,-0.00919557,false,false
gas_price,5.85873e+09,5.87945e+09,5.838e+09,-4.14475e+07,-0.00707448,false,false
tax_amount,5.85873e+09,5.8607e+09,5.85675e+09,-3.95528e+06,-0.000675109,false,false
